2022-04-03 00:29:58 INFO  TestBase:110 - After clicking on [[ChromeDriver: chrome on WINDOWS (6d7063717522b3bf92a9f575b22e954b)] -> css selector: .header_user_info]
2022-04-03 00:29:58 INFO  TestBase:91 - Before finding by :By.id: email
2022-04-03 00:29:58 INFO  TestBase:91 - Before finding by :By.id: passwd
2022-04-03 00:29:58 INFO  TestBase:91 - Before finding by :By.id: SubmitLogin
2022-04-03 00:29:58 INFO  TestBase:104 - Before clicking on [[ChromeDriver: chrome on WINDOWS (6d7063717522b3bf92a9f575b22e954b)] -> id: SubmitLogin]
2022-04-03 00:30:04 INFO  TestBase:110 - After clicking on [[ChromeDriver: chrome on WINDOWS (6d7063717522b3bf92a9f575b22e954b)] -> id: SubmitLogin]
2022-04-03 00:30:04 INFO  TestBase:91 - Before finding by :By.cssSelector: .sf-with-ul
2022-04-03 00:30:04 INFO  TestBase:104 - Before clicking on [[ChromeDriver: chrome on WINDOWS (6d7063717522b3bf92a9f575b22e954b)] -> css selector: .sf-with-ul]
2022-04-03 00:30:08 INFO  TestBase:110 - After clicking on [[ChromeDriver: chrome on WINDOWS (6d7063717522b3bf92a9f575b22e954b)] -> css selector: .sf-with-ul]
2022-04-03 00:30:08 INFO  TestBase:91 - Before finding by :By.cssSelector: .product_img_link
2022-04-03 00:30:08 INFO  TestBase:104 - Before clicking on [[ChromeDriver: chrome on WINDOWS (6d7063717522b3bf92a9f575b22e954b)] -> css selector: .product_img_link]
2022-04-03 00:30:08 INFO  TestBase:110 - After clicking on [[ChromeDriver: chrome on WINDOWS (6d7063717522b3bf92a9f575b22e954b)] -> css selector: .product_img_link]
2022-04-03 00:30:14 INFO  TestBase:91 - Before finding by :By.cssSelector: #quantity_wanted
2022-04-03 00:30:14 INFO  TestBase:91 - Before finding by :By.cssSelector: #quantity_wanted
2022-04-03 00:30:14 INFO  TestBase:91 - Before finding by :By.id: group_1
2022-04-03 00:30:14 INFO  TestBase:91 - Before finding by :By.id: group_1
2022-04-03 00:30:14 INFO  TestBase:91 - Before finding by :By.id: group_1
2022-04-03 00:30:14 INFO  TestBase:91 - Before finding by :By.xpath: .//option[@value = "3"]
2022-04-03 00:30:14 INFO  TestBase:104 - Before clicking on [[[[ChromeDriver: chrome on WINDOWS (6d7063717522b3bf92a9f575b22e954b)] -> id: group_1]] -> xpath: .//option[@value = "3"]]
2022-04-03 00:30:14 INFO  TestBase:110 - After clicking on [[[[ChromeDriver: chrome on WINDOWS (6d7063717522b3bf92a9f575b22e954b)] -> id: group_1]] -> xpath: .//option[@value = "3"]]
2022-04-03 00:30:14 INFO  TestBase:91 - Before finding by :By.cssSelector: #add_to_cart
2022-04-03 00:30:14 INFO  TestBase:104 - Before clicking on [[ChromeDriver: chrome on WINDOWS (6d7063717522b3bf92a9f575b22e954b)] -> css selector: #add_to_cart]
2022-04-03 00:30:15 INFO  TestBase:110 - After clicking on [[ChromeDriver: chrome on WINDOWS (6d7063717522b3bf92a9f575b22e954b)] -> css selector: #add_to_cart]
2022-04-03 00:30:15 INFO  TestBase:91 - Before finding by :By.cssSelector: a[class='btn btn-default button button-medium']
2022-04-03 00:30:15 INFO  TestBase:104 - Before clicking on [[ChromeDriver: chrome on WINDOWS (6d7063717522b3bf92a9f575b22e954b)] -> css selector: a[class='btn btn-default button button-medium']]
2022-04-03 00:30:19 INFO  TestBase:155 - Got Exception :element click intercepted: Element <a class="btn btn-default button button-medium" href="http://automationpractice.com/index.php?controller=order" title="Proceed to checkout" rel="nofollow">...</a> is not clickable at point (1293, 394). Other element would receive the click: <div class="fancybox-overlay fancybox-overlay-fixed" style="display: block; width: auto; height: auto; opacity: 0.8836;"></div>
  (Session info: chrome=100.0.4896.60)
